nom;enseigne;reseau;adresse;code_postal;ville;region;latitude;longitude;telephone;contact;ca_jrf;exercice;reference;libelle_excel
Intermarché Anderlecht;Intermarché;by_mestdagh;Boulevard Industriel 41;1070;Anderlecht;bruxelles;;;;;;;ITM-001;INTERMARCHE ANDERLECHT BY
Intermarché Ans;Intermarché;by_mestdagh;Rue des Français 155;4430;Ans;wallonie;;;;;;;ITM-002;INTERMARCHE ANS BY
Intermarché Braine-Le-Comte;Intermarché;by_mestdagh;Rue des Digues 60;7090;Braine-le-Comte;wallonie;;;;;;;ITM-003;INTERMARCHE BRAINE LE CONTE BY
Intermarché Cerfontaine;Intermarché;by_mestdagh;Rue de la Gare 22;5630;Cerfontaine;wallonie;;;;;;;ITM-004;INTERMARCHE CERFONTAINE BY
Intermarché Chapelle-Lez-Herlaimont;Intermarché;by_mestdagh;Rue de la Hestre 93;7160;Chapelle-lez-Herlaimont;wallonie;;;;;;;ITM-005;INTERMARCHE CHAPELLE-LEZ-HERLEMONT BY
Intermarché Andenne;Intermarché;independant;Avenue de Belle Mine 7;5300;Andenne;wallonie;;;;;;;ITM-006;INTERMARCHE ANDENNE
Intermarché Chatelet;Intermarché;by_mestdagh;Rue de la Station 55;6200;Châtelet;wallonie;;;;;;;ITM-007;INTERMARCHE CHATELET BY
Intermarché Chatelineau;Intermarché;by_mestdagh;Rue Jules des Essarts 2;6200;Châtelineau;wallonie;;;;;;;ITM-008;INTERMARECHE CHATELINEAU BY
Intermarché Chaumont;Intermarché;by_mestdagh;Chaussée de Huy 175;1325;Chaumont-Gistoux;wallonie;;;;;;;ITM-009;INTERMARCHE CHAUMONT BY
Intermarché Chievres;Intermarché;by_mestdagh;Rue du Septième Wing 2;7950;Chièvres;wallonie;;;;;;;ITM-010;INTERMARCHE CHIEVRES BY
Intermarché Corbais;Intermarché;by_mestdagh;Rue Haute 1;1435;Corbais;wallonie;;;;;;;ITM-011;INTERMARCHE CORBAIS BY
Intermarché Couillet;Intermarché;by_mestdagh;Route de Philippeville 319;6010;Couillet;wallonie;;;;;;;ITM-012;INTERMARCHE COUILLET BY
Intermarché Floriffoux;Intermarché;by_mestdagh;Rue Emerée 4;5150;Floriffoux;wallonie;;;;;;;ITM-013;INTERMARCHE FLORIFOUX BY
Intermarché Fontaine L'Eveque;Intermarché;by_mestdagh;Rue de Mons 54;6140;Fontaine-l'Évêque;wallonie;;;;;;;ITM-014;INTERMARCHE FONTAINE L'EVEQUE BY
Intermarché Forest;Intermarché;by_mestdagh;Chaussée d'Alsemberg 303;1190;Forest;bruxelles;;;;;;;ITM-015;INTERMARCHE FOREST BY
Intermarché Genappe;Intermarché;by_mestdagh;Rue Louis Lalieux 22;1470;Genappe;wallonie;;;;;;;ITM-016;INTERMARCHE GENAPPE BY
Intermarché Gerpinnes;Intermarché;by_mestdagh;Chaussée de Philippeville 196;6280;Gerpinnes;wallonie;;;;;;;ITM-017;INTERMARCHE GERPINNES BY
Intermarché Ghislenghien;Intermarché;by_mestdagh;Chaussée de Bruxelles 458;7822;Ghislenghien;wallonie;;;;;;;ITM-018;INTERMARCHE GHISLENGHIEN BY
Intermarché Gilly Velodrome;Intermarché;independant;Rue des Vallées 7A;6060;Gilly;wallonie;;;;;;;ITM-019;INTERMARCHE GILLY VELODROME
Intermarché Gosselies;Intermarché;by_mestdagh;Rue Pont-à-Migneloux 13;6041;Gosselies;wallonie;;;;;;;ITM-020;INTERMARCHE GOSSELIES BY
Intermarché Gozee;Intermarché;by_mestdagh;Rue de Marchienne 204;6534;Gozée;wallonie;;;;;;;ITM-021;INTERMARCHE GOZEE BY
Intermarché Hamme-Mille;Intermarché;by_mestdagh;Rue des Épinoches 5;1320;Hamme-Mille;wallonie;;;;;;;ITM-022;INTERMARCHE HAMME-MILLE BY
Intermarché Jambes;Intermarché;by_mestdagh;Rue du Major Mascaux 20;5100;Jambes;wallonie;;;;;;;ITM-023;INTERMARCHE JAMBES BY
Intermarché Jodoigne;Intermarché;by_mestdagh;Avenue des Commandants Borlée 16;1370;Jodoigne;wallonie;;;;;;;ITM-024;INTERMARCHE JODOIGNE BY
Intermarché Jumet;Intermarché;by_mestdagh;Rue Louis Biernaux 98;6040;Jumet;wallonie;;;;;;;ITM-025;INTERMARCHE JUMET BY
Intermarché St Lambert;Intermarché;by_mestdagh;Place Saint-Lambert 9;4000;Liège;wallonie;;;;;;;ITM-026;INTERMARCHE ST LAMBERT BY
Intermarché -Humblet;Intermarché;by_mestdagh;Rue de la Cathédrale 63-67;4000;Liège;wallonie;;;;;;;ITM-027;INTERMARCHE -HUMBLET BY
Intermarché Luttre;Intermarché;by_mestdagh;Rue du Pont Neuf 6a;6238;Luttre;wallonie;;;;;;;ITM-028;INTERMARCHE LUTTRE BY
Intermarché Marcinelle;Intermarché;by_mestdagh;Avenue Eugène Mascaux 869;6001;Marcinelle;wallonie;;;;;;;ITM-029;INTERMARCHE MARCINELLE BY
Intermarché Monceau;Intermarché;by_mestdagh;Rue du Calvaire 141;6031;Monceau-sur-Sambre;wallonie;;;;;;;ITM-030;INTERMARCHE MONCEAU BY
Intermarché Montignies -Sur-Sambre;Intermarché;by_mestdagh;Avenue du Centenaire 56;6061;Montignies-sur-Sambre;wallonie;;;;;;;ITM-031;INTERMARCHE MONTIGNIES -SUR-SAMBRE BY
Intermarché Naninne;Intermarché;by_mestdagh;Chaussée de Marche 860;5100;Naninne;wallonie;;;;;;;ITM-032;INTERMARCHE NANINNE BY
Intermarché Nivelles;Intermarché;by_mestdagh;Rue Tienne-à-Deux-Vallées 6;1400;Nivelles;wallonie;;;;;;;ITM-033;INTERMARCHE NIVELLES BY
Intermarché Ottignies;Intermarché;by_mestdagh;Avenue Provinciale 127;1340;Ottignies;wallonie;;;;;;;ITM-034;INTERMARCHE OTTIGNIES BY
Intermarché Philippeville;Intermarché;by_mestdagh;Rue de France 39;5600;Philippeville;wallonie;;;;;;;ITM-035;INTERMARCHE PHILIPPEVILLE  BY
Intermarché Rixensart;Intermarché;by_mestdagh;Avenue John Fitzgerald Kennedy 2;1330;Rixensart;wallonie;;;;;;;ITM-036;INTERMARCHE RIXENSART BY
Intermarché Roux;Intermarché;by_mestdagh;Rue Edmond Foulon 21;6044;Roux;wallonie;;;;;;;ITM-037;INTERMARCHE ROUX BY
Intermarché Schaerbeek;Intermarché;by_mestdagh;Rue de Jérusalem 60;1030;Schaerbeek;bruxelles;;;;;;;ITM-038;INTERMARCHE SCHAERBEEK BY
Intermarché Soignies;Intermarché;by_mestdagh;Rue du Nouveau Monde 17;7060;Soignies;wallonie;;;;;;;ITM-039;INTERMARCHE SOIGNIES BY
Intermarché Tilff;Intermarché;by_mestdagh;Avenue des Ardennes 8;4130;Tilff;wallonie;;;;;;;ITM-040;INTERMARCHE TILFF BY MESSTDAGH
Intermarché Trazegnies;Intermarché;by_mestdagh;Rue de Gosselies 76;6183;Trazegnies;wallonie;;;;;;;ITM-041;INTERMARCHE TRAZEGNIES BY
Intermarché Trooz;Intermarché;by_mestdagh;Grand'Rue 40;4870;Trooz;wallonie;;;;;;;ITM-042;INTERMARCHE TROOZ BY
Intermarché Wavre;Intermarché;by_mestdagh;Avenue des Princes 9;1300;Wavre;wallonie;;;;;;;ITM-043;INTERMARCHE WAVRE BY MESTDAGH
